GEO_ID,GEOID,NAME,S1501_C01_006E,S1501_C01_015E,Ratio
Geography,GEOID,Geographic Area Name,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Ratio
0500000US48281,48281,"Lampasas County, Texas",14700,2925,0.000161321
0500000US48283,48283,"La Salle County, Texas",5233,392,2.16198E-05
0500000US48285,48285,"Lavaca County, Texas",13782,2295,0.000126575
0500000US48287,48287,"Lee County, Texas",11592,1696,9.35386E-05
0500000US48289,48289,"Leon County, Texas",11969,1681,9.27113E-05
0500000US48291,48291,"Liberty County, Texas",54264,5279,0.00029115
0500000US48293,48293,"Limestone County, Texas",16201,2402,0.000132476
0500000US48295,48295,"Lipscomb County, Texas",2235,440,2.42671E-05
0500000US48297,48297,"Live Oak County, Texas",8672,1057,5.82962E-05
0500000US48299,48299,"Llano County, Texas",16841,4258,0.000234839
0500000US48301,48301,"Loving County, Texas",71,0,0
0500000US48303,48303,"Lubbock County, Texas",180052,54246,0.002991801
0500000US48305,48305,"Lynn County, Texas",3807,657,3.62352E-05
0500000US48307,48307,"McCulloch County, Texas",5651,977,5.3884E-05
0500000US48309,48309,"McLennan County, Texas",152262,36921,0.002036284
0500000US48311,48311,"McMullen County, Texas",496,143,7.8868E-06
0500000US48313,48313,"Madison County, Texas",9746,1435,7.91438E-05
0500000US48315,48315,"Marion County, Texas",7579,1115,6.1495E-05
0500000US48317,48317,"Martin County, Texas",3321,608,3.35327E-05
0500000US48319,48319,"Mason County, Texas",2863,791,4.36256E-05
0500000US48321,48321,"Matagorda County, Texas",24102,4203,0.000231806
0500000US48323,48323,"Maverick County, Texas",32840,4169,0.000229931
0500000US48325,48325,"Medina County, Texas",33616,6671,0.000367922
0500000US48327,48327,"Menard County, Texas",1763,318,1.75385E-05
0500000US48329,48329,"Midland County, Texas",105138,28785,0.001587564
0500000US48331,48331,"Milam County, Texas",16681,2350,0.000129608
0500000US48333,48333,"Mills County, Texas",3575,653,3.60146E-05
0500000US48335,48335,"Mitchell County, Texas",5574,631,3.48012E-05
0500000US48337,48337,"Montague County, Texas",13632,2307,0.000127237
0500000US48339,48339,"Montgomery County, Texas",373374,128928,0.007110698
0500000US48341,48341,"Moore County, Texas",12470,1779,9.81162E-05
0500000US48343,48343,"Morris County, Texas",8600,1233,6.8003E-05
0500000US48345,48345,"Motley County, Texas",880,148,8.16257E-06
0500000US48347,48347,"Nacogdoches County, Texas",37633,9229,0.000509002
0500000US48349,48349,"Navarro County, Texas",31966,5086,0.000280505
0500000US48351,48351,"Newton County, Texas",9820,956,5.27258E-05
0500000US48353,48353,"Nolan County, Texas",9499,1443,7.9585E-05
0500000US48355,48355,"Nueces County, Texas",235560,51445,0.002837319
0500000US48357,48357,"Ochiltree County, Texas",6071,949,5.23397E-05
0500000US48359,48359,"Oldham County, Texas",1263,278,1.53324E-05
0500000US48361,48361,"Orange County, Texas",56139,8708,0.000480268
0500000US48363,48363,"Palo Pinto County, Texas",19449,3223,0.000177756
0500000US48365,48365,"Panola County, Texas",15741,2542,0.000140198
0500000US48367,48367,"Parker County, Texas",89787,23710,0.001307665
0500000US48369,48369,"Parmer County, Texas",5989,1070,5.90131E-05
0500000US48371,48371,"Pecos County, Texas",10544,1037,5.71931E-05
0500000US48373,48373,"Polk County, Texas",35202,4618,0.000254694
0500000US48375,48375,"Potter County, Texas",75714,11275,0.000621844
0500000US48377,48377,"Presidio County, Texas",4411,934,5.15124E-05
0500000US48379,48379,"Rains County, Texas",8734,1199,6.61278E-05
0500000US48381,48381,"Randall County, Texas",88390,28659,0.001580615
0500000US48383,48383,"Reagan County, Texas",2175,228,1.25748E-05
0500000US48385,48385,"Real County, Texas",2257,392,2.16198E-05
0500000US48387,48387,"Red River County, Texas",8921,1112,6.13295E-05
0500000US48389,48389,"Reeves County, Texas",10500,1291,7.12018E-05
0500000US48391,48391,"Refugio County, Texas",4817,555,3.06096E-05
0500000US48393,48393,"Roberts County, Texas",560,140,7.72135E-06
0500000US48395,48395,"Robertson County, Texas",11599,1870,0.000103135
0500000US48397,48397,"Rockwall County, Texas",63085,25668,0.001415654
0500000US48399,48399,"Runnels County, Texas",7062,1281,7.06503E-05
0500000US48401,48401,"Rusk County, Texas",36843,5700,0.000314369
0500000US48403,48403,"Sabine County, Texas",7928,1394,7.68825E-05
0500000US48405,48405,"San Augustine County, Texas",6096,853,4.70451E-05
0500000US48407,48407,"San Jacinto County, Texas",19953,2244,0.000123762
0500000US48409,48409,"San Patricio County, Texas",42864,6681,0.000368474
0500000US48411,48411,"San Saba County, Texas",4207,594,3.27606E-05
0500000US48413,48413,"Schleicher County, Texas",1968,326,1.79797E-05
0500000US48415,48415,"Scurry County, Texas",11141,1809,9.97708E-05
0500000US48417,48417,"Shackelford County, Texas",2239,683,3.76691E-05
0500000US48419,48419,"Shelby County, Texas",16235,2241,0.000123597
0500000US48421,48421,"Sherman County, Texas",2076,312,1.72076E-05
0500000US48423,48423,"Smith County, Texas",148915,39346,0.002170029
0500000US48425,48425,"Somervell County, Texas",6247,1650,9.10016E-05
