Facility Name,Latitude (degrees),Longitude (degrees),2022 CO2 Emissions (tons)
Kalamazoo River Generating Station,42.2797,-85.4922,79020
Kalkaska CT Project #1,44.6889,-85.2019,27566
Kearny Generating Station,40.7375,-74.1,160743
Kemper County,32.7976,-88.6057,118462
Kendall Energy Facility,41.4797,-88.2581,2314819
Kendall Green Energy LLC,42.3633,-71.0792,743791
Keys Energy Center,38.6955,-76.8278,1984574
Keystone,40.6604,-79.3411,5418275
Kincaid Generating Station,39.5906,-89.4964,4106612
King City Power Plant,36.225,-121.1278,34441
Kings Mountain Energy Center,35.1986,-81.3604,1263475
Kingsburg Cogen Facility,36.547,-119.578,8431
Kingston,35.8992,-84.5194,4190938
Kinmundy Power Plant,38.7619,-89.0128,1819
Klamath Cogeneration Project,42.174,-121.8112,1080987
Klamath Generation Peakers,42.1727,-121.8144,20069
Kleen Energy Systems Project,41.5526,-72.597,1002431
Knox Lee Power Plant,32.3766,-94.6415,229033
Kyger Creek,38.9161,-82.1281,6079003
Kyrene Generating Station,33.3544,-111.9364,524873
L V Sutton,34.2824,-77.9864,1647024
LEPA Unit No. 1,29.6913,-91.193,150891
"LSP University Park, LLC",41.4426,-87.7515,122652
La Cygne,38.3472,-94.6389,7339498
La Luz Energy Center,34.6178,-106.817,4647
La Paloma Generating Plant,35.2956,-119.5919,766935
LaPorte Generating Station,29.702,-95.071,145179
Labadie,38.5583,-90.8361,17346253
Lackawanna Energy Center,41.4711,-75.5436,3632452
Ladysmith Combustion Turbine Sta,38.0725,-77.5141,550696
Lagoon Creek,35.6578,-89.3964,1730815
Lake,34.1775,-118.3147,9414
Lake Catherine,34.4341,-92.9046,145033
Lake Charles Power Station,30.2706,-93.2886,2466854
Lake Hubbard,32.8364,-96.5464,418008
Lake Road,39.7246,-94.8773,17368
Lake Road Generating Company,41.8736,-71.8947,2410640
Lake Side Power Plant,40.3311,-111.7547,2819178
Lakefield Junction Generating,43.7984,-94.8415,56970
Lakewood,40.0613,-74.1686,188761
Lamar Power Plant,33.6314,-95.589,2338533
Lambie Energy Center,38.2216,-121.8683,7067
Lange,44.1212,-103.2608,17840
Langley Gulch Power Plant,43.9046,-116.8181,632648
Lansing,43.3359,-91.1672,1197334
Lansing BWL REO Town Plant,42.7197,-84.5518,306260
Lansing Smith Generating Plant,30.2689,-85.7003,1928832
Laramie River,42.1103,-104.8828,12604199
Laredo,27.5667,-99.5083,20287
Larkspur Energy Faciity,32.5672,-116.9444,20769
Las Vegas Generating Station,36.2317,-115.1235,150689
Laskin Energy Center,47.5306,-92.1619,99839
Lauderdale,26.0681,-80.1983,1653298
Lawrence Energy Center,39.0072,-95.2692,2399065
Lawrenceburg Energy Facility,39.0913,-84.8667,3740899
"Lee County Generating Station, LLC",41.8287,-89.4054,62787
Leland Olds,47.2819,-101.3194,4795165
Leon Creek,29.3511,-98.5753,89874
Lewis Creek,30.4364,-95.5215,1166483
Liberty Electric Power Plant,39.8622,-75.3361,1561494
Lieberman Power Plant,32.7047,-93.9597,94832
Lime Creek,43.2481,-93.2046,2667
Limestone,31.4219,-96.2525,8453805
Limon Generating Station,39.2038,-103.7005,86981
Lincoln Combustion Turbine,35.4317,-81.0347,135974
Lincoln Generating Facility,41.3937,-87.9437,1736
Linden Cogeneration Facility,40.6322,-74.2156,2983940
Linden Generating Station,40.6225,-74.2097,2215415
Little Gypsy,30.0033,-90.4611,577525
Live Oak Limited,35.4837,-119.0298,41708
Livingston Generating Station,45.0291,-84.7332,13143
Lockport,43.1622,-78.7453,107403
Lodi Energy Center,38.088,-121.3867,361969
Logan Generating Plant,39.7914,-75.4081,263170
Lon D Wright Power Plant,41.4275,-96.4619,350178
Lonesome Creek Station,47.7966,-103.5783,372105
Long Beach Generating Station,33.7641,-118.2248,16244
Long Ridge Energy Generation,39.6692,-80.8667,971012
Longview Power,39.7078,-79.9588,4321201
Lordsburg Generating Station,32.3494,-108.6975,45055
Los Esteros Critical Energy Facility,37.425,-121.9319,96020
"Los Medanos Energy Center, LLC",38.03,-121.8708,1625738
Lost Pines 1,30.1478,-97.27,916829
Louisa,41.3153,-91.0936,3469132
Louisa Generation Facility,38.1181,-78.2139,168789
Louisiana 1,30.4903,-91.1875,2309285
"Lower Mount Bethel Energy, LLC",40.8011,-75.105,1800469
Luna Energy Facility,32.2983,-107.78,1398072
MASSPOWER,42.156,-72.5292,119730
MPC Generating,33.8122,-83.6954,104013
Maddox,32.7131,-103.31,146823
Madison Generating Station,39.4522,-84.465,494105
Magic Valley Generating Station,26.3403,-98.19,1040953
Magnet Cove Generating Station,34.4304,-92.8333,1366309
Magnolia Combined Cycle Plant,34.8358,-89.2017,2284972
Magnolia Power Project,34.1788,-118.3153,671213
Maine Independence Station,44.8236,-68.7106,293754
Malaga Power,36.6894,-119.7399,10476
Malburg Generating Station,33.9983,-118.2219,235752
Manatee,27.6058,-82.3456,2677641
Manchester Street Station,41.8167,-71.4042,510227
Manchief Generating Station,40.2201,-103.679,139878
Manitowoc,44.082,-87.6558,392497
Mankato Energy Center,44.1965,-94.0099,798320
"Marcus Hook Energy, LP",39.8083,-75.4225,2293860
Marion,37.6206,-88.955,1237480
Mariposa Energy Project,37.7965,-121.6049,57303
Marsh Landing Generating Station,38.0171,-121.7651,94266
Marsh Run Generation Facility,38.5283,-77.7681,223460
Marshall,35.5975,-80.9658,5775498
Marshall County,37.0286,-88.3958,318925
Marshalltown Generating Station,42.04,-92.87,1209063
Marshfield Utilities Combustion Turbine,44.635,-90.135,6153
Martin,27.0536,-80.5628,4028702
Martin Drake,38.8244,-104.8331,156850
Martin Lake,32.2597,-94.5703,14579129
"Martins Creek, LLC",40.796,-75.107,187458
Massena Energy Facility,44.9503,-74.8928,293
Mayo,36.5278,-78.8917,1506578
McCartney Generating Station,37.2479,-93.1709,65002
McClain Energy Facility,35.2979,-97.5896,957556
McClellan,33.5648,-92.7917,31192
McGrath Generating Station,34.2054,-119.2478,19679
McIntosh (6124),32.3558,-81.1683,90153
McIntosh (7063),31.2546,-88.0299,547801
McIntosh Combined Cycle Facility,32.3478,-81.1828,3339856
McKinley Paper WI Company,44.2717,-88.3011,188140
McKittrick Limited,35.3195,-119.662,6465
McMeekin,34.0533,-81.2178,408757
McPherson Municipal Power Plant #3,38.3864,-97.61,22361
McWilliams,31.4001,-86.4767,1679034
Meramec,38.4017,-90.3358,229287
Merom,39.0694,-87.5108,5934203
Merrimack,43.1411,-71.4692,363457
Mesquite Generating Station,33.3451,-112.8638,3042391
Metcalf Energy Center,37.2169,-121.7439,1022834
Miami Fort Power Station,39.1131,-84.8031,6576076
Michigan City Generating Station,41.7203,-86.9097,1635741
Michigan Power Limited Partnership,43.94,-86.4247,593389
Mickleton Energy Center,39.8139,-75.2508,4348
Mid-Georgia Cogeneration,32.4853,-83.6036,227490
Middletown,41.5544,-72.5793,198291
Middletown Energy Center,39.4679,-84.3531,1425670
Midlothian Energy,32.4302,-97.0537,2278590
Midulla Generating Station,27.6417,-81.9625,1656436
Midway Peaking,36.654,-120.5797,15580
Milford Power Company LLC,41.2239,-73.1,1617066
"Milford Power, LLC",42.1292,-71.5122,77666
Mill Creek,38.0531,-85.91,7726437
Mill Creek Combustion Turbine Station,35.1597,-81.4306,103842
Millcreek Power,37.1124,-113.5155,94726
Millennium Power,42.1127,-72.0152,488838
Milton R Young,47.0664,-101.2139,4978994
Minnesota River Station,44.795,-93.5808,565
Mint Farm Generating Station,46.1403,-122.9842,726076
Mira Loma Generating Station,34.0054,-117.5604,17134
Miramar Energy Facility,32.8769,-117.1664,20378
Mitchell (WV),39.8297,-80.8153,4045726
Monroe,41.8917,-83.3461,16290016
Montana Power Station,31.8239,-106.2119,428718
Montgomery County Power Station,30.4358,-95.5206,2655045
"Montour, LLC",41.0714,-76.6672,1341227
Montpelier Electric Gen Station,40.6206,-85.3057,224353
Montville,41.4281,-72.1019,106282
Mooreland,36.4375,-99.2208,75216
Morgan Energy Center,34.6397,-87.0639,2290074
Morgantown,38.3592,-76.9767,1390002
Moselle Generation Complex,31.5289,-89.2992,654642
Moss Landing Power Plant,36.8042,-121.7775,2092342
Mount Storm Power Station,39.2014,-79.2667,4994593
Mountain,40.1219,-77.1761,6446
Mountain Creek Generating Station,32.7253,-96.9361,421555
Mountaineer (1301),38.9794,-81.9344,5470203
Mountainview Generating Station,34.0836,-117.2408,1646915
Moxie Freedom Generation Plant,41.1117,-76.16,1764330
Mt. Carmel Cogeneration,40.8092,-76.4539,144309
Mulberry Cogeneration Facility,27.8489,-81.8775,189037
Muscatine,41.3917,-91.0569,1372094
Muskogee,35.7617,-95.2847,2055674
Mustang,35.4711,-97.6733,503974
Mustang Station,32.9728,-102.7417,680425
Mustang Station (56326),32.9748,-102.7432,538459
Mystic,42.3917,-71.0667,711917
NCEMC Anson Plant,34.9708,-79.9208,227500
NCEMC Hamlet Plant,34.8422,-79.7367,119929
NCPA Combustion Turbine Project #2,38.088,-121.3871,4147
Nacogdoches Generating Facility,31.8326,-94.9006,623343
Nassau Energy Corporation,40.7259,-73.5885,81460
Naughton,41.7572,-110.5986,2674127
Nearman Creek,39.1714,-94.6958,1607759
Nebo Power Station,40.0614,-111.7294,185644
Nebraska City Station,40.6215,-95.7765,7584304
Neenah Energy Facility,44.1934,-88.5055,334262
Neil Simpson II,44.2853,-105.3841,877063
Neil Simpson II (CT2),44.2853,-105.3841,14360
Nelson Energy Center,41.7749,-89.6067,1133146
New Castle,40.9378,-80.3681,348465
New Covert Generating Project,42.3231,-86.2925,3118851
New Gulf Power Facility,29.2639,-95.8997,13
New Harquahala Generating Company,33.4759,-113.1133,1128210
New Haven Harbor,41.2836,-72.9042,64893
New Madrid Power Plant,36.5147,-89.5617,7459852
Newark Bay Cogen,40.7197,-74.13,5849
Newark Energy Center,40.7082,-74.1284,1743600
Newington,43.0974,-70.7834,134065
Newington Energy,43.1047,-70.8044,640175
Newman Power Station,31.9858,-106.4322,1863341
Newton,38.9361,-88.2778,3849584
Nichols Station,35.2825,-101.7458,508955
Niland Gas Turbine Plant,33.2432,-115.498,59079
Ninemile Point,29.9472,-90.1458,4439437
Nissequogue Energy Center,40.9168,-73.1292,189739
Noblesville,40.0969,-85.9714,687879
Nodaway Power Plant,40.2877,-94.7913,15046
North 1st,40.7168,-73.9665,45636
North Omaha Station,41.3297,-95.9458,2085303
North Valmy,40.8831,-117.1542,1749202
Northampton Generating Plant,40.6917,-75.4792,601721
Northeastern,36.4317,-95.7008,4114158
Northport,40.9231,-73.3417,1954440
Northside,30.4172,-81.5525,3208757
Nueces Bay,27.8182,-97.4189,704888
O W Sommers,29.3078,-98.3244,955327
Oak Grove,31.185,-96.4853,13877679
Ocean Peaking Power,40.0606,-74.1672,116943
Ocean State Power,42.0099,-71.6701,384873
Ocean State Power II,42.0099,-71.6701,354629
Ocotillo Power Plant,33.4225,-111.9122,425044
Odessa Ector Generating Station,31.8378,-102.3278,2434856
"Odyssey Energy Altura Cogen, LLC",29.8169,-95.1086,2111730
Okeechobee Clean Energy Center,27.6342,-80.7911,3551439
Oleander Power Project,28.3661,-80.7947,257438
Omega JV2 Bowling Green,41.3883,-83.6406,635
Omega JV2 Hamilton,39.3528,-84.5183,893
Oneta Energy Center,36.0119,-95.6967,1837465
Ontelaunee Energy Center,40.4219,-75.9353,1758823
Orange Cogeneration Facility,27.8708,-81.8253,187327
Orange Grove Project,33.359,-117.111,12493
Oregon Clean Energy Center,41.6679,-83.4437,2301852
Orlando CoGen,28.4422,-81.4119,483993
"Ormond Beach Power, LLC.",34.1292,-119.1689,208408
Osawatomie Generating Station,38.5325,-94.9042,31244
Osceola,28.1289,-81.0978,8567
Osprey Energy Center,28.0525,-81.8083,816053
Oswald Generating Station,34.5923,-92.2166,445471
Oswego Harbor Power,43.46,-76.53,60035
"Otay Mesa Energy Center, LLC",32.5733,-116.9153,1102111
Ottumwa,41.0961,-92.5556,4087425
Ouachita Plant,32.7056,-92.0697,1938575
P L Bartow,27.8613,-82.6012,2958247
PEI Power Corporation,41.4844,-75.5403,37165
Paddy's Run,38.2147,-85.8453,60097
Paducah Power Systems Plant 1,37.0339,-88.6161,89996
Palomar Energy Center,33.1192,-117.118,997586
Panda Sherman Power Station,33.5756,-96.6158,1410827
Panoche Energy Center,36.6513,-120.5833,400951
Paradise,37.2608,-86.9783,2816231
Paris,42.6658,-88.0131,200461
Paris Energy Center,33.6968,-95.5577,352811
Pasadena Power Plant,29.7233,-95.1769,1650380
Pastoria Energy Facility,34.9556,-118.844,1503257
Pawnee,40.2217,-103.6803,3038862
Pedricktown Cogeneration Plant,39.7661,-75.4242,7616
Peno Creek Energy Center,39.3531,-91.2295,88522
Permian Basin,31.5839,-102.9636,102527
Perryman,39.4422,-76.2208,220785
Perryville Power Station,32.6914,-92.0192,1158261
Pinckneyville Power Plant,38.1114,-89.3467,19888
Pine Bluff Energy Center,34.2181,-91.9025,762054
Pinelawn Power,40.7358,-73.3881,81544
Pio Pico Energy Center LLC,32.5739,-116.9178,48299
Pioneer Generating Station,48.2325,-103.9528,192724
Plant H. Allen Franklin,32.6094,-85.0961,4874870
Plant Rowan County,35.7325,-80.6019,2016935
Plant X,34.1661,-102.4114,337839
Plaquemine Cogen Facility,30.3215,-91.2392,3711328
Platte,40.8538,-98.3481,602654
Pleasant Hill Energy Center,41.5572,-93.5242,2480
Pleasant Valley Station,43.7997,-92.6819,86995
"Pleasants Energy, LLC",39.3328,-81.3639,572191
Pleasants Power Station,39.3668,-81.2944,8446479
Plum Point Energy Station,35.6626,-89.9469,4882488
Poletti 500 MW CC,40.7881,-73.9056,1118232
Polk,27.7286,-81.9897,2973825
Ponca,36.7205,-97.0868,24559
Port Comfort Peaking Facility,28.648,-96.5457,56449
Port Everglades,26.0856,-80.1253,2789469
Port Jefferson Energy Center,40.9503,-73.0786,308450
Port Washington Generating Station,43.3842,-87.8689,3142120
Port Westward,46.1792,-123.1717,961835
Portland,40.91,-75.0789,6621
Possum Point Power Station,38.5367,-77.2806,777459
"Potomac Energy Center, LLC",39.0578,-77.5425,1444186
Potter,42.235,-70.9672,22893
Pouch Terminal,40.6188,-74.069,38639
Power Lane Steam Plant,33.1707,-96.1264,21698
Powerton,40.5408,-89.6786,6314958
Prairie Creek,41.9439,-91.6386,350740
Prairie State Generating Station,38.2792,-89.667,11945332
Procter and Gamble Power Plant,38.5306,-121.399,353798
Pueblo Airport Generating Station,38.322,-104.533,593345
Pulliam,44.5397,-88.0083,93088
Pyramid Generating Station,32.2363,-108.5494,45192
Quail Run Energy Center,31.8414,-102.315,720701
R D Green,37.6467,-87.5006,792532
R D Morrow Senior Generating Plant,31.2194,-89.3933,42508
R M Heskett,46.8669,-100.8839,56708
R M Schahfer Generating Station,41.2175,-87.0239,2811187
R S Cogen LLC,30.221,-93.2826,1706595
R S Nelson,30.2861,-93.2917,2650639
R W Miller,32.6581,-98.3103,258871
Raccoon Creek Power Plant,38.6996,-88.5392,1838
Rathdrum Combustion Turbine Project,47.8034,-116.869,116094
"Rathdrum Power, LLC",47.7861,-116.9214,701842
"Rausch Creek Generation, LLC",40.6191,-76.45,423706
Ravenswood Generating Station,40.7585,-73.9451,1039879
Rawhide Energy Station,40.8611,-105.0206,2222502
Ray D Nixon,38.6306,-104.7056,1311281
Ray Olinger,33.0667,-96.4519,49427
Red Hills Generation Facility,33.3761,-89.2183,3727628
"Red Oak Power, LLC",40.4481,-74.3497,1344694
Redbud Power Plant,35.6853,-97.2242,1819201
Redding Power Plant,40.5083,-122.4253,207025
Redhawk Generating Facility,33.33,-112.84,2096469
Reedy Creek Central Energy Plant,28.4272,-81.5803,1503
Reeves Generating Station,35.1716,-106.6019,158053
Remington Combustion Turbine Station,38.5447,-77.7707,441692
Renaissance Power,43.1864,-84.8429,229263
Rensselaer Cogen,42.63,-73.75,37402
Rhode Island State Energy Center,41.8017,-71.5186,1372636
Richard M Flynn (Holtsville),40.8153,-73.0644,359947
Richland Peaking Station,41.3033,-84.3386,210630
Richmond,39.9853,-75.0733,6794
Richmond (IN),39.8383,-84.9665,10864
Richmond County Plant,34.8422,-79.7444,4572767
Rio Bravo Generating Station,35.026,-106.644,184414
Rio Grande,31.8047,-106.5472,395843
"Rio Nogales Power Project, LP",29.5932,-97.9724,1905573
Ripon Generation Station,37.7315,-121.116,14594
River Road,45.65,-122.7231,720093
River Valley,35.1931,-94.6458,959967
Riverside (1927),45.0203,-93.2753,632934
Riverside (4940),35.9978,-95.9567,626316
Riverside Energy Center,42.5835,-89.0351,2394435
Riverside Energy Resource Center,33.9636,-117.4528,50850
Riverside Generating Company,38.1933,-82.6042,432339
Riverton,37.0719,-94.6986,656989
Riverview Energy Center,38.0145,-121.7901,11490
Riviera Beach Energy Center,26.7653,-80.0528,2545493
Robert P Mone,40.9297,-84.7392,350158
Robins,32.5806,-83.5831,11874
Rock Springs Generating Facility,39.7183,-76.1606,143424
Rockford Energy Center,42.2403,-89.1025,48360
Rockford II Energy Center,42.2383,-89.1014,36780
Rockgen Energy Center,42.9767,-89.0492,417689
Rockingham County Combustion Turbine,36.3297,-79.8297,910813
Rockport,37.9256,-87.0372,7024803
Rocky Mountain Energy Center,40.0911,-104.5947,1261060
"Rocky Road Power, LLC",42.0931,-88.2397,12917
Rokeby,40.7316,-96.7364,49076
Roland C. Dansby Power Plant,30.7217,-96.4599,132423
Rolling Hills Generating LLC,39.0839,-82.3328,920133
Rosemary Power Station,36.4525,-77.6594,1542
Roseton Generating LLC,41.5711,-73.9739,359257
Roseville Energy Park,38.7926,-121.3823,299654
Rothschild Biomass Cogeneration Facility,44.8878,-89.6298,534902
Roxboro,36.4833,-79.0731,5908720
Rumford Power,44.5303,-70.5219,189862
Rush Island,38.1306,-90.2625,4962848
Russell City Energy Company LLC,37.6341,-122.1326,455369
S A Carlson,42.0917,-79.2417,42882
S O Purdom,30.1619,-84.2014,641779
SABIC Innovative Plastics - Burkville,32.3102,-86.5242,324875
SJRR Power Peaking Facility,29.8819,-95.1114,11317
SRO Cogen Limited Partnership,30.0561,-93.7539,1646408
Sabine,30.0242,-93.875,1874449
Salem Harbor Station NGCC,42.5256,-70.8784,244646
Salinas River Cogeneration Facility,35.9515,-120.8679,223849
Sam Rayburn Plant,28.8947,-97.1347,190706
Sam Seymour,29.9172,-96.7506,11534368
San Jacinto County Peaking Facility,30.42,-95.0114,70174
San Jacinto Steam Electric Station,29.6967,-95.0411,594568
San Juan,36.8006,-108.4386,4066778
San Miguel,28.7044,-98.4781,2722754
Sand Hill Energy Center,30.2091,-97.6139,805362
Sandy Creek Energy Station,31.4753,-96.9564,4637186
Sanford,28.8419,-81.3256,3791175
Santa Rosa Energy Center,30.5661,-87.115,584212
Santan,33.3333,-111.751,1380533
"Saranac Power Partners, LP",44.7132,-73.4557,56125
Sarpy County Station,41.1706,-95.9692,75158
Sayreville,40.4753,-74.3552,6014
Sayreville Power LP,40.439,-74.3444,341301
Scattergood Generating Station,33.9175,-118.4258,837570
Scherer,33.0583,-83.8072,8935773
Scrubgrass Generating Plant,41.2678,-79.8114,613140
Selkirk Cogen Partners,42.5744,-73.8592,182281
Seminole (136),29.7333,-81.6339,6354376
Seminole (2956),34.9678,-96.7242,1012984
"Sentinel Energy Center, LLC",33.9366,-116.5722,301773
Seward,40.4081,-79.0339,3153638
Sewaren Generating Station,40.5564,-74.2461,1097216
Sewell Creek Energy,33.9486,-85.2769,316204
Shady Hills,28.3665,-82.5591,448248
Shawnee,37.1517,-88.775,7506717
Shawville,41.067,-78.3656,716515
Sheboygan Falls Energy Facility,43.7519,-87.8783,262660
Shelby County,39.2794,-88.4772,78082
Sheldon,40.5589,-96.7842,1237654
Shell Chemical Appalachia LLC,39.6715,-80.3363,858699
Sherburne County,45.3792,-93.8958,11477185
Sherman Avenue,39.451,-75.0578,17702
Shoemaker,41.4278,-74.4186,466
Shoreham Energy,40.9572,-72.8664,16424
Sikeston,36.8791,-89.6209,1777685
Silas Ray,25.9131,-97.5214,46523
Silver Creek Generating Plant,31.6004,-89.9468,57915
Silverhawk,36.4078,-114.9603,842594
Sim Gideon,30.1456,-97.2708,555538
Sioux,38.9158,-90.2917,4214541
Smarr Energy Facility,32.9856,-83.8464,221914
Smith Generating Facility,37.8824,-84.1025,533967
Solway Plant,47.5444,-95.1297,52951
Sooner,36.4537,-97.0527,2996462
"South Field Energy, LLC",40.635,-80.6793,3320759
South Fond Du Lac,43.7353,-88.4968,73420
South Harper Peaking Facility,38.6803,-94.4824,121022
South Houston Green Power Site,29.3775,-94.9328,2785051
South Oak Creek,42.8457,-87.8294,4153497
"South Point Energy Center, LLC",34.8678,-114.5317,773397
Southampton Power Station,36.6525,-76.9953,567216
Southaven Combined Cycle Plant,34.9939,-90.039,1915894
Southwestern,35.1009,-98.3524,608416
Sowega Power Project,31.3869,-84.0814,47663
Spencer,33.1978,-97.1067,21679
Spindle Hill Energy Center,40.0914,-104.8819,60701
Spiritwood Station,46.925,-98.5,481294
Spring Creek Power Plant,35.7422,-97.655,68862
Springdale Generating Station (55196),40.5447,-79.7678,95747
Springdale Generating Station (55710),40.5456,-79.7669,1679259
Springerville Generating Station,34.3186,-109.1636,8200211
"Spruance Genco, LLC",37.4556,-77.4308,370929
St. Charles Power Station,30.0051,-90.4617,2344568
St. Clair,42.7642,-82.4719,1865904
St. Francis Power Plant,36.5852,-90.1779,581657
St. Joseph Energy Center LLC,41.6996,-86.4814,2039775
St. Nicholas Cogeneration Project,40.8222,-76.1736,1244885
Stanton A,28.4881,-81.1675,1353061
Stanton Energy Reliability Center,33.807,-117.9864,1477
State Line (MO),37.0659,-94.614,1029503
Sterling Power Plant,43.0803,-75.6003,1952
Sterlington,32.7047,-92.0792,3430
Stock Island,24.5636,-81.7342,2256
Streeter Station,42.5267,-92.4394,7860
Stryker Creek,31.9381,-94.9883,191415
Sugar Creek Generating Station,39.3922,-87.5103,1467176
Sumas Generating Station,48.9905,-122.2733,238904
Summit Lake,41.1141,-94.3499,4835
Sumpter Plant,42.167,-83.5318,187507
Sun Peak Generating Station,36.1392,-115.034,26734
Sundance Power Plant,32.9285,-111.5899,243023
Sunrise Power Company,35.2097,-119.585,1169530
Sweeny Cogeneration Facility,29.0728,-95.745,2855359
Sylvarena Generating Plant,31.9842,-89.4131,141580
"Syracuse, LLC",43.0667,-76.2246,1740
T C Ferguson Power Plant,30.558,-98.3705,1255183
T H Wharton,29.9414,-95.5333,533069
T J Labbe Electric Generating Station,30.2554,-92.0433,61919
TS Power Plant,40.7458,-116.5297,1399009
Taft Cogeneration Facility,29.9861,-90.4575,2634617
Tait Electric Generating Station,39.7286,-84.2106,580945
Talbot Energy Facility,32.5892,-84.6917,432278
"Tanner Street Generation, LLC",42.6308,-71.3133,12741
Tasley Energy Center,37.7061,-75.7031,3388
Teche Power Station,29.8223,-91.5427,186492
Tejas Power Generation Unit 1,29.6464,-95.4518,55954
Temple Power Station,31.0558,-97.3172,3245821
Tenaska Frontier Generating Station,30.5924,-95.9178,1879122
Tenaska Gateway Generating Station,32.0164,-94.6189,1721631
Tenaska Georgia Generating Station,33.3516,-84.9996,477015
Tenaska Kiamichi Generating Station,34.6831,-95.9349,2351269
Tenaska Lindsay Hill Generating Station,32.6514,-86.7386,1329536
Tenaska Virginia Generating Station,37.8667,-78.3813,1592749
Tenaska Westmoreland Generating Station,40.1764,-79.6934,2811958
Terry Bundy Generating Station,40.9108,-96.6147,116028
Texas City Cogeneration,29.3787,-94.944,922131
Theodore Cogeneration,30.5248,-88.1289,638120
Thomas A. Smith Energy Facility,34.7094,-84.9182,3517984
Thomas Fitzhugh,35.4617,-93.8053,251638
Thomas Hill Energy Center,39.5531,-92.6392,7689858
Tiger Bay,27.7447,-81.85,543351
Tilton Power Station,40.1063,-87.6539,25684
"Tiverton Power, LLC",41.6417,-71.17,446484
Tolk Station,34.1847,-102.5686,2999379
Tolna,39.7636,-76.6345,3834
Tom G Smith,26.6125,-80.0678,41
Topaz Generating,29.4262,-94.9767,407808
Tracy,39.5625,-119.525,1713152
Tracy Combined Cycle Power Plant,37.7107,-121.4906,185821
Treasure Coast Energy Center,27.3839,-80.3775,877128
Trenton Channel,42.1236,-83.1811,682270
Trimble County,38.5847,-85.4117,9529904
Trinidad,32.1264,-96.1014,60559
"Troy Energy, LLC",41.4774,-83.4616,650714
Tulsa,36.1125,-95.9917,211509
Turkey Point,25.4356,-80.3308,2554498
Twin Oaks,31.0932,-96.6965,3140364
Union Power Station,33.2961,-92.5933,5526411
University Park Energy,41.4405,-87.7528,49901
University of Florida,29.6397,-82.3486,191599
Urquhart,33.435,-81.9111,954565
V H Braunig,29.2575,-98.3828,2242516
Valencia Power Plant,34.6063,-106.732,50002
Valley (WEPCO),43.0303,-87.9233,508510
Valley Energy Center,41.413,-74.435,1953592
Valley Generating Station,34.2481,-118.3903,869217
Valmont Combustion Turbine Facility,40.0197,-105.202,5522
Van Sant,39.15,-75.5466,1322
Vandolah Power Project,27.5242,-81.9236,927047
Venice,38.6642,-90.1764,14103
Vermillion Generating Station,39.9208,-87.445,360522
Vernon Boulevard,40.7539,-73.9506,79120
Victoria City Peaking Facility,28.7853,-97.0093,17279
Victoria Port Peaking Facility,28.6958,-96.9454,27380
Victoria Port Power II Peaking Facility,28.6967,-96.9449,60856
Victoria Power Station,28.7883,-97.01,456872
Vienna,38.4878,-75.8208,13753
Virginia City Hybrid Energy Center,36.9161,-82.3381,1522163
W A Parish,29.4783,-95.6358,13584767
W H Sammis,40.5308,-80.6311,6607928
W H Weatherspoon,34.5889,-78.975,3181
W H Zimmer Generating Station,38.8689,-84.2286,3356178
W S Lee,34.6022,-82.435,2028029
Wabash River Gen Station,39.53,-87.4247,71230
Wabash River Highland Plant,39.5326,-87.4262,71230
Wading River Facility,40.9569,-72.8774,23623
"Wallingford Energy, LLC",41.4486,-72.8358,48462
Walnut Creek Energy Park,34.0078,-117.9425,268250
Walnut Energy Center,37.4878,-120.8956,726857
Walter M. Higgins III Generating Station,35.6139,-115.3561,1202304
Walter Scott Jr. Energy Center,41.18,-95.8408,7212628
Walton County Power,33.8147,-83.6969,461965
Wansley (6052),33.4124,-85.0345,4807884
Wansley (7946),33.4082,-85.0399,1008572
Wansley CC (55965),33.4063,-85.0373,3704407
Warren,41.8358,-79.19,7608
Warren County Power Station,38.9705,-78.1777,3142028
Warren F. Sam Beasley Pwr Station,39.2798,-75.6246,42726
Washington County Cogen (Olin),31.2622,-88.0052,500591
Washington County Power,33.0917,-82.9803,277238
Washington Parish Energy Center,30.7914,-89.9092,207218
Washington Power Company LLC,39.5798,-81.6571,2156631
Waterbury Generation,41.5444,-73.0416,25983
Wateree,33.8264,-80.6218,1938722
Waterford 1 & 2,29.9994,-90.4758,243265
Waterford Plant,39.5314,-81.7172,2780761
Watson Electric Generating Plant,30.4408,-89.0265,1581041
Waukegan,42.3833,-87.8133,1526431
Welsh Power Plant,33.0583,-94.844,5155186
West Babylon Facility,40.6953,-73.3497,64
West Campus Cogeneration Facility,43.0751,-89.4251,251227
West County Energy Center,26.6986,-80.3747,7563492
West Deptford Energy Station,39.8418,-75.2214,843192
West Gardner Generating Station,38.7878,-94.985,129824
West Lorain,41.4297,-82.2633,440862
West Marinette,45.0869,-87.6881,195819
West Springfield,42.0956,-72.5958,804
West Valley Power Plant,40.6663,-112.031,309830
Westbrook Energy Center,43.6576,-70.3772,1012112
Weston,44.8606,-89.6553,4184962
Wheatland Generating Facility LLC,38.6716,-87.2931,49332
White Bluff,34.4236,-92.1392,6241595
Whitewater Cogeneration Facility,42.8543,-88.7297,463588
Whitewater Valley,39.8028,-84.8953,72765
"Whiting Clean Energy, Inc.",41.6739,-87.4778,1414290
Wildcat Point Generation Facility,39.7194,-76.1616,1639950
