Facility Name,Latitude (degrees),Longitude (degrees),2022 CO2 Emissions (tons)
Brunswick County Power Station,36.7637,-77.7112,3041844
Brush Power Projects,40.2415,-103.631,85316
Buchanan Units 1 & 2,37.1753,-81.9617,187385
Buck,35.7133,-80.3767,2039544
Bucksport Generation LLC,44.5739,-68.8033,7243
Bull Run,36.0211,-84.1567,1269525
Burgess BioPower,44.4719,-71.1753,914113
Burlington (IA),40.7412,-91.1168,19137
Burlington Generating Station,40.0753,-74.8781,34476
C D McIntosh Jr Power Plant,28.0809,-81.9256,1009249
C W Burdick,40.9228,-98.3269,11674
C. C. Perry K Steam Plant,39.7622,-86.1667,52377
C. R. Wing Cogeneration Plant,32.2722,-101.4222,113053
"CPV Fairview, LLC",40.4125,-78.8561,2881794
CPV St. Charles Energy Center,38.5686,-76.8919,1598240
CPV Towantic Energy Center,41.4841,-73.1229,1905602
Cabrillo Power I Encina Power Station,33.1408,-117.3342,210777
CalPeak Power - Border,32.5622,-116.9433,11542
CalPeak Power - Enterprise,33.1221,-117.117,9866
CalPeak Power - Panoche,36.6531,-120.5797,4682
CalPeak Power - Vaca Dixon,38.3989,-121.9239,8576
Calcasieu Plant,30.1603,-93.3458,109021
Caledonia,33.6464,-88.2717,1959109
Calhoun Generating Facility,33.5883,-85.9731,320610
"Calpine Gilroy Cogen, LP",37.0001,-121.5367,40818
Calpine Hidalgo Energy Center,26.3389,-98.1708,1046258
Calpine Sutter Energy Center,39.0531,-121.6939,1150308
"Calumet Energy Team, LLC",41.6835,-87.5563,5314
Cambridge Station,45.601,-93.2081,21645
"Camden Plant Holding, LLC",39.9175,-75.1192,58107
Campbell Power Plant,38.511,-121.4735,456383
Canaday,40.6941,-99.7005,16135
Canal Station,41.7694,-70.5097,409544
Cane Island,28.2764,-81.533,1587005
Cane Run,38.1828,-85.8894,1826015
Cannon Falls Energy Center,44.5364,-92.9147,119262
Canyon Power Plant,33.8581,-117.8616,89476
Cape Canaveral,28.4694,-80.7642,2079684
Carlls Corner Energy Center,39.4547,-75.2011,13587
Carneys Point,39.6928,-75.4867,473667
Carr Street Generating Station,43.0611,-76.0819,86394
